source,target,weight
0,1,32
0,2,37
0,3,1
0,4,19
0,5,16
0,7,3
0,12,11
0,13,1
0,18,9
0,20,6
0,21,1
0,23,14
0,32,6
0,33,10
0,34,1
0,36,2
0,37,10
0,39,7
0,40,10
0,54,2
0,57,1
0,65,1
0,71,1
0,72,1
0,73,9
0,74,4
0,79,4
0,88,8
0,95,1
0,97,2
0,98,2
0,99,2
0,103,2
0,119,5
0,122,3
0,126,2
0,127,1
0,137,16
0,141,1
0,142,1
1,0,9
1,2,9
1,3,1
1,4,3
1,5,8
1,6,2
1,7,1
1,8,3
1,10,2
1,16,1
1,17,1
1,18,3
1,19,1
1,20,9
1,21,2
1,23,7
1,24,2
1,25,1
1,27,1
1,28,1
1,29,2
1,30,1
1,31,1
1,32,3
1,33,2
1,34,1
1,36,3
1,39,2
1,40,10
1,42,2
1,48,1
1,54,1
1,55,1
1,57,2
1,58,2
1,64,2
1,74,1
1,79,5
1,80,1
1,95,1
1,97,1
1,101,1
1,102,1
1,103,1
1,104,1
1,110,2
1,119,1
1,122,3
1,126,1
1,137,1
1,139,1
1,142,1
2,0,25
2,1,30
2,4,28
2,5,6
2,12,12
2,18,6
2,20,7
2,23,18
2,32,6
2,33,7
2,36,3
2,37,3
2,39,7
2,40,4
2,57,7
2,71,1
2,73,7
2,74,2
2,79,2
2,88,4
2,95,2
2,97,4
2,98,1
2,99,1
2,102,1
2,103,12
2,118,1
2,119,4
2,122,3
2,126,2
2,127,1
2,137,14
2,141,1
2,142,2
2,145,1
2,172,3
3,6,27
3,8,7
3,10,13
3,14,7
3,16,1
3,19,9
3,21,1
3,24,1
3,25,2
3,27,1
3,28,2
3,30,3
3,31,3
3,34,1
3,35,3
3,38,1
3,42,1
3,49,1
3,52,3
3,53,2
3,62,5
3,65,1
3,67,2
3,79,1
4,0,32
4,1,26
4,2,24
4,5,9
4,12,11
4,18,8
4,20,2
4,23,14
4,28,1
4,29,1
4,32,4
4,33,8
4,36,4
4,37,7
4,39,4
4,40,4
4,46,1
4,54,1
4,56,1
4,57,3
4,58,1
4,71,1
4,72,2
4,73,3
4,74,1
4,79,6
4,80,3
4,88,4
4,97,2
4,98,1
4,99,2
4,102,1
4,103,7
4,119,1
4,122,3
4,129,1
4,132,1
4,137,4
4,142,2
4,145,1
4,181,1
5,0,1
5,1,24
5,2,7
5,3,2
5,4,3
5,6,4
5,7,1
5,8,3
5,10,2
5,12,1
5,14,1
5,16,1
5,18,5
5,19,1
5,20,4
5,23,1
5,25,1
5,26,1
5,28,1
5,30,3
5,31,1
5,32,4
5,33,8
5,35,2
5,36,2
5,37,3
5,39,4
5,40,7
5,42,1
5,50,2
5,52,3
5,56,1
5,57,2
5,60,1
5,61,1
5,64,1
5,65,1
5,69,1
5,73,4
5,74,1
5,79,3
5,88,7
5,90,1
5,95,5
5,99,1
5,102,1
5,108,1
5,119,1
5,122,2
5,137,2
5,139,1
5,141,1
5,142,1
5,145,1
6,3,30
6,7,1
6,8,1
6,9,3
6,10,12
6,11,1
6,14,3
6,18,1
6,19,9
6,24,5
6,25,2
6,30,1
6,31,2
6,33,1
6,34,1
6,35,5
6,38,1
6,41,1
6,42,1
6,43,1
6,50,1
6,52,6
6,53,1
6,62,7
6,65,1
6,67,4
6,90,1
6,108,1
6,110,1
6,123,1
7,3,5
7,9,2
7,10,1
7,11,13
7,13,4
7,15,4
7,16,1
7,21,16
7,22,3
7,24,9
7,25,5
7,27,5
7,28,3
7,30,6
7,31,2
7,38,6
7,41,4
7,42,5
7,43,2
7,47,9
7,48,3
7,50,3
7,55,1
7,59,1
7,64,2
7,65,2
7,84,1
7,92,1
7,108,3
7,110,2
7,123,3
7,139,2
7,143,2
7,147,1
7,165,1
8,1,1
8,3,13
8,5,1
8,6,7
8,7,2
8,9,1
8,10,3
8,14,3
8,16,5
8,19,1
8,21,1
8,24,4
8,25,2
8,27,1
8,28,1
8,30,2
8,31,1
8,34,16
8,35,4
8,36,1
8,38,2
8,45,3
8,48,1
8,49,8
8,51,3
8,52,3
8,61,1
8,62,1
8,65,1
8,67,1
8,69,3
8,79,2
8,81,2
8,85,2
8,101,1
8,104,4
8,105,1
8,108,1
8,110,1
8,111,1
9,3,4
9,6,1
9,7,2
9,9,2
9,10,2
9,11,2
9,15,17
9,21,2
9,22,3
9,24,5
9,25,6
9,26,8
9,27,2
9,28,3
9,30,3
9,31,3
9,34,2
9,38,2
9,41,3
9,42,3
9,43,3
9,48,1
9,65,1
9,76,1
9,84,1
9,101,1
9,108,3
9,110,1
9,123,1
9,143,1
10,3,26
10,5,1
10,6,33
10,7,2
10,8,3
10,11,2
10,14,14
10,16,1
10,19,13
10,24,3
10,25,1
10,27,1
10,28,1
10,30,2
10,31,2
10,35,11
10,38,1
10,41,2
10,42,1
10,47,1
10,49,1
10,52,9
10,62,8
10,67,8
10,79,3
10,90,3
10,101,1
10,110,1
11,3,1
11,5,1
11,7,27
11,9,6
11,11,1
11,13,9
11,15,6
11,21,11
11,22,3
11,24,2
11,25,5
11,26,3
11,27,8
11,28,6
11,30,4
11,31,3
11,38,8
11,41,4
11,42,5
11,43,2
11,48,1
11,50,1
11,59,3
11,65,3
11,76,3
11,79,1
11,86,1
11,101,2
11,108,3
11,110,3
11,123,4
11,143,1
11,144,1
11,145,2
11,150,1
12,0,34
12,1,19
12,2,18
12,4,22
12,5,14
12,13,1
12,18,4
12,20,6
12,23,15
12,32,4
12,33,10
12,36,4
12,37,5
12,39,1
12,40,2
12,54,1
12,57,3
12,65,1
12,73,3
12,74,4
12,79,2
12,80,3
12,88,8
12,95,1
12,97,1
12,99,2
12,102,5
12,103,4
12,104,2
12,119,4
12,122,3
12,126,1
12,127,2
12,137,14
12,141,2
12,142,1
12,172,2
12,183,2
13,0,3
13,2,1
13,7,39
13,9,4
13,11,32
13,15,4
13,21,25
13,22,3
13,24,7
13,25,9
13,26,7
13,27,2
13,28,6
13,30,8
13,31,9
13,33,1
13,38,3
13,41,11
13,42,4
13,43,8
13,47,4
13,48,1
13,50,6
13,53,1
13,58,1
13,59,8
13,64,2
13,65,6
13,66,1
13,72,1
13,76,1
13,84,2
13,86,2
13,88,1
13,91,1
13,94,1
13,101,2
13,108,1
13,110,2
13,118,1
13,123,2
13,128,1
13,138,1
13,139,2
13,143,3
13,145,2
13,150,1
13,165,1
14,3,35
14,5,1
14,6,36
14,8,3
14,9,1
14,10,31
14,15,1
14,16,2
14,19,21
14,24,4
14,25,1
14,27,2
14,31,1
14,34,1
14,35,18
14,38,1
14,41,1
14,47,1
14,52,8
14,58,1
14,59,1
14,61,1
14,62,5
14,67,8
14,90,4
14,104,1
14,145,1
15,3,5
15,7,1
15,9,29
15,10,1
15,11,3
15,15,1
15,16,1
15,19,1
15,21,2
15,22,12
15,24,6
15,25,5
15,26,14
15,27,6
15,30,2
15,31,4
15,35,1
15,38,4
15,41,2
15,42,10
15,43,1
15,47,3
15,48,2
15,59,1
15,65,1
15,71,1
15,76,3
15,94,1
15,95,2
15,101,4
15,108,1
15,110,1
15,118,2
15,123,4
15,139,1
15,143,2
15,147,2
15,150,1
15,154,1
15,157,1
16,1,1
16,3,7
16,5,1
16,6,3
16,8,21
16,10,3
16,19,1
16,24,2
16,27,1
16,34,15
16,41,1
16,45,3
16,49,17
16,51,7
16,52,4
16,65,2
16,67,2
16,69,1
16,81,12
16,83,1
16,85,11
16,104,5
16,111,3
16,123,1
16,139,1
16,168,1
17,1,1
17,28,1
17,29,7
17,32,1
17,41,1
17,44,11
17,46,3
17,53,5
17,54,3
17,55,3
17,56,6
17,58,7
17,60,2
17,61,6
17,67,2
17,68,5
17,70,9
17,71,8
17,75,1
17,78,5
17,82,3
17,87,5
17,89,2
17,96,1
17,100,3
17,105,3
17,114,2
17,115,2
17,116,3
17,121,2
17,133,1
17,136,2
17,155,1
17,160,1
17,164,1
17,167,1
17,171,1
17,174,1
17,177,2
17,182,2
17,184,1
18,1,3
18,3,2
18,5,8
18,6,1
18,7,1
18,8,4
18,10,1
18,11,2
18,20,14
18,24,1
18,27,1
18,29,2
18,30,1
18,31,1
18,33,7
18,34,1
18,36,6
18,37,12
18,39,6
18,40,4
18,41,1
18,45,1
18,53,1
18,57,6
18,65,1
18,71,1
18,74,2
18,76,1
18,79,3
18,80,2
18,88,1
18,102,4
18,119,4
18,136,1
18,142,2
18,143,1
19,3,33
19,5,2
19,6,36
19,7,1
19,8,2
19,9,2
19,10,26
