source,target,weight,color
0,1,32,tab:blue
0,2,37,tab:blue
0,3,1,tab:blue
0,4,19,tab:blue
0,5,16,tab:blue
0,7,3,tab:blue
0,12,11,tab:blue
0,13,1,tab:blue
0,18,9,tab:blue
0,20,6,tab:blue
0,21,1,tab:blue
0,23,14,tab:blue
0,32,6,tab:blue
0,33,10,tab:blue
0,34,1,tab:blue
0,36,2,tab:blue
0,37,10,tab:blue
0,39,7,tab:blue
0,40,10,tab:blue
0,54,2,tab:blue
0,57,1,tab:blue
0,65,1,tab:blue
0,71,1,tab:blue
0,72,1,tab:blue
0,73,9,tab:blue
0,74,4,tab:blue
0,79,4,tab:blue
0,88,8,tab:blue
0,95,1,tab:blue
0,97,2,tab:blue
0,98,2,tab:blue
0,99,2,tab:blue
0,103,2,tab:blue
0,119,5,tab:blue
0,122,3,tab:blue
0,126,2,tab:blue
0,127,1,tab:blue
0,137,16,tab:blue
0,141,1,tab:blue
0,142,1,tab:blue
1,0,9,tab:blue
1,2,9,tab:blue
1,3,1,tab:blue
1,4,3,tab:blue
1,5,8,tab:blue
1,6,2,tab:blue
1,7,1,tab:blue
1,8,3,tab:blue
1,10,2,tab:blue
1,16,1,tab:blue
1,17,1,tab:blue
1,18,3,tab:blue
1,19,1,tab:blue
1,20,9,tab:blue
1,21,2,tab:blue
1,23,7,tab:blue
1,24,2,tab:blue
1,25,1,tab:blue
1,27,1,tab:blue
1,28,1,tab:blue
1,29,2,tab:blue
1,30,1,tab:blue
1,31,1,tab:blue
1,32,3,tab:blue
1,33,2,tab:blue
1,34,1,tab:blue
1,36,3,tab:blue
1,39,2,tab:blue
1,40,10,tab:blue
1,42,2,tab:blue
1,48,1,tab:blue
1,54,1,tab:blue
1,55,1,tab:blue
1,57,2,tab:blue
1,58,2,tab:blue
1,64,2,tab:blue
1,74,1,tab:blue
1,79,5,tab:blue
1,80,1,tab:blue
1,95,1,tab:blue
1,97,1,tab:blue
1,101,1,tab:blue
1,102,1,tab:blue
1,103,1,tab:blue
1,104,1,tab:blue
1,110,2,tab:blue
1,119,1,tab:blue
1,122,3,tab:blue
1,126,1,tab:blue
1,137,1,tab:blue
1,139,1,tab:blue
1,142,1,tab:blue
2,0,25,tab:blue
2,1,30,tab:blue
2,4,28,tab:blue
2,5,6,tab:blue
2,12,12,tab:blue
2,18,6,tab:blue
2,20,7,tab:blue
2,23,18,tab:blue
2,32,6,tab:blue
2,33,7,tab:blue
2,36,3,tab:blue
2,37,3,tab:blue
2,39,7,tab:blue
2,40,4,tab:blue
2,57,7,tab:blue
2,71,1,tab:blue
2,73,7,tab:blue
2,74,2,tab:blue
2,79,2,tab:blue
2,88,4,tab:blue
2,95,2,tab:blue
2,97,4,tab:blue
2,98,1,tab:blue
2,99,1,tab:blue
2,102,1,tab:blue
2,103,12,tab:blue
2,118,1,tab:blue
2,119,4,tab:blue
