label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss
Thailand,536,0,950.0,876.0,269,267,0.5018656716417911,0.498134328358209
South Korea,512,1,1185.0,435.0,384,128,0.75,0.25
Malaysia,496,2,950.0,793.0,258,238,0.5201612903225806,0.4798387096774194
Brazil,447,3,1140.0,420.0,349,98,0.7807606263982103,0.21923937360178972
Indonesia,424,4,808.0,746.0,207,217,0.4882075471698113,0.5117924528301887
Japan,417,5,896.0,438.0,272,145,0.6522781774580336,0.34772182254196643
Argentina,416,6,951.0,440.0,310,106,0.7451923076923077,0.2548076923076923
Sweden,399,7,874.0,453.0,266,133,0.6666666666666666,0.3333333333333333
Mexico,393,8,913.0,384.0,280,113,0.712468193384224,0.2875318066157761
England,386,9,956.0,308.0,296,87,0.7668393782383419,0.22538860103626943
Uruguay,385,10,705.0,503.0,230,155,0.5974025974025974,0.4025974025974026
Denmark,375,11,740.0,485.0,226,146,0.6026666666666667,0.3893333333333333
Singapore,371,12,500.0,773.0,136,235,0.3665768194070081,0.633423180592992
Finland,364,13,413.0,826.0,118,246,0.3241758241758242,0.6758241758241759
Chile,361,14,571.0,574.0,170,191,0.4709141274238227,0.5290858725761773
Scotland,358,15,599.0,455.0,210,145,0.5865921787709497,0.40502793296089384
Costa Rica,356,16,759.0,410.0,229,127,0.6432584269662921,0.35674157303370785
Zambia,343,17,602.0,358.0,216,127,0.6297376093294461,0.37026239067055394
Saudi Arabia,336,18,656.0,342.0,225,111,0.6696428571428571,0.33035714285714285
Paraguay,336,19,484.0,559.0,158,178,0.47023809523809523,0.5297619047619048
Kuwait,332,20,648.0,377.0,198,134,0.5963855421686747,0.4036144578313253
Norway,331,21,529.0,529.0,163,168,0.49244712990936557,0.5075528700906344
Northern Ireland,331,22,377.0,595.0,121,210,0.36555891238670696,0.6344410876132931
Myanmar,330,23,615.0,558.0,178,152,0.5393939393939394,0.46060606060606063
Germany,329,24,888.0,309.0,268,58,0.8145896656534954,0.1762917933130699
Italy,326,25,669.0,271.0,252,71,0.7730061349693251,0.21779141104294478
Wales,325,26,448.0,497.0,148,177,0.4553846153846154,0.5446153846153846
Spain,322,27,797.0,248.0,252,67,0.782608695652174,0.2080745341614907
Hungary,316,28,664.0,445.0,187,126,0.5917721518987342,0.3987341772151899
Egypt,314,29,629.0,303.0,221,93,0.7038216560509554,0.2961783439490446
France,313,30,714.0,288.0,234,76,0.7476038338658147,0.24281150159744408
Netherlands,311,31,764.0,257.0,234,74,0.752411575562701,0.2379421221864952
India,308,32,451.0,494.0,151,157,0.4902597402597403,0.5097402597402597
China PR,307,33,704.0,281.0,203,104,0.6612377850162866,0.33876221498371334
United States,306,34,580.0,361.0,196,110,0.6405228758169934,0.35947712418300654
Peru,306,35,415.0,496.0,127,179,0.4150326797385621,0.5849673202614379
Qatar,303,36,521.0,372.0,171,132,0.5643564356435643,0.43564356435643564
Iraq,301,37,633.0,272.0,208,93,0.6910299003322259,0.3089700996677741
Portugal,300,38,635.0,280.0,215,82,0.7166666666666667,0.2733333333333333
United Arab Emirates,297,39,479.0,404.0,160,137,0.5387205387205387,0.4612794612794613
Iran,296,40,723.0,206.0,232,64,0.7837837837837838,0.21621621621621623
Russia,295,41,619.0,252.0,213,82,0.7220338983050848,0.27796610169491526
Belgium,291,42,608.0,329.0,192,96,0.6597938144329897,0.32989690721649484
