label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color,in_degree,out_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank_centrality
Thailand,536,0,950.0,876.0,269,267,0.5018656716417911,0.498134328358209,0,tab:blue,38,40,78,0.42391304347826086,0.015478141088233274,0.5227272727272727,0.023553026222791647,0.006490536255275128
South Korea,512,1,1185.0,435.0,384,128,0.75,0.25,0,tab:blue,59,52,111,0.6032608695652174,0.03878571440357964,0.5878594249201278,0.07428252471687997,0.01446913524373292
Malaysia,496,2,950.0,793.0,258,238,0.5201612903225806,0.4798387096774194,0,tab:blue,33,36,69,0.375,0.010578857755588545,0.5,0.0203106367786163,0.006229101041098652
Brazil,447,3,1140.0,420.0,349,98,0.7807606263982103,0.2192393736017897,2,tab:green,61,24,85,0.46195652173913043,0.009215689396080615,0.5916398713826366,0.16416914670784466,0.02777746914058064
Indonesia,424,4,808.0,746.0,207,217,0.4882075471698113,0.5117924528301887,0,tab:blue,31,41,72,0.3913043478260869,0.013652169691548567,0.46938775510204084,0.01860982309151403,0.004826340653539407
Japan,417,5,896.0,438.0,272,145,0.6522781774580336,0.3477218225419664,0,tab:blue,67,54,121,0.657608695652174,0.05776996936720587,0.6032786885245902,0.0972331913694929,0.01169964646000771
Argentina,416,6,951.0,440.0,310,106,0.7451923076923077,0.2548076923076923,2,tab:green,44,30,74,0.40217391304347827,0.006373437753937386,0.5609756097560976,0.11866776743460773,0.023839190172268453
Sweden,399,7,874.0,453.0,266,133,0.6666666666666666,0.3333333333333333,5,tab:brown,61,35,96,0.5217391304347826,0.008775030498515862,0.580441640378549,0.17617285325980322,0.014704867396523554
Mexico,393,8,913.0,384.0,280,113,0.712468193384224,0.2875318066157761,4,tab:purple,49,40,89,0.483695652173913,0.03883838477258102,0.5696594427244582,0.07713153471564667,0.01583730056404299
England,386,9,956.0,308.0,296,87,0.7668393782383419,0.2253886010362694,5,tab:brown,64,30,94,0.5108695652173912,0.003962424177682123,0.5841269841269842,0.18535437609583683,0.018169176392220345
Uruguay,385,10,705.0,503.0,230,155,0.5974025974025974,0.4025974025974026,2,tab:green,39,28,67,0.3641304347826087,0.0057237815974014285,0.5525525525525525,0.09007722819218635,0.01644626986133402
Denmark,375,11,740.0,485.0,226,146,0.6026666666666667,0.3893333333333333,5,tab:brown,55,35,90,0.4891304347826087,0.005092802098480684,0.5459940652818991,0.17320813139939492,0.012278686293779305
Singapore,371,12,500.0,773.0,136,235,0.3665768194070081,0.633423180592992,0,tab:blue,29,38,67,0.3641304347826087,0.004678187696856624,0.45098039215686275,0.013876998821003161,0.0031234036428422493
Finland,364,13,413.0,826.0,118,246,0.3241758241758242,0.6758241758241759,5,tab:brown,44,48,92,0.5,0.012879856427862768,0.5227272727272727,0.10876826239239909,0.004903239129713495
Chile,361,14,571.0,574.0,170,191,0.4709141274238227,0.5290858725761773,2,tab:green,26,27,53,0.28804347826086957,0.005159532617308874,0.5272206303724928,0.06103462381706603,0.010542595982549174
Scotland,358,15,599.0,455.0,210,145,0.5865921787709497,0.4050279329608938,5,tab:brown,52,40,92,0.5,0.00883599122425278,0.5411764705882353,0.15126810467468826,0.012515219406549687
Costa Rica,356,16,759.0,410.0,229,127,0.6432584269662921,0.3567415730337078,4,tab:purple,35,26,61,0.33152173913043476,0.017295064181381156,0.5027322404371585,0.04201962616022706,0.009513708172892394
Zambia,343,17,602.0,358.0,216,127,0.6297376093294461,0.3702623906705539,6,tab:pink,43,41,84,0.45652173913043476,0.00891900341364893,0.4730077120822622,0.03292317904926871,0.008365021539357417
Saudi Arabia,336,18,656.0,342.0,225,111,0.6696428571428571,0.3303571428571428,0,tab:blue,36,36,72,0.3913043478260869,0.009182522511316038,0.5348837209302325,0.034579825097788876,0.008894291515246774
Paraguay,336,19,484.0,559.0,158,178,0.4702380952380952,0.5297619047619048,2,tab:green,22,20,42,0.22826086956521738,0.0012298437742332444,0.5139664804469274,0.04223140365362737,0.010729587230923746
Kuwait,332,20,648.0,377.0,198,134,0.5963855421686747,0.4036144578313253,0,tab:blue,36,29,65,0.3532608695652174,0.0027796781485696634,0.4816753926701571,0.023809229209223678,0.008236684946209577
